127.0.0.1 - - [12/Oct/2021:19:48:50 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Oct/2021:20:22:40 -0500] "GET /CS480Template/jsps/main.jsp HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [12/Oct/2021:20:22:40 -0500] "GET /CS480Template/jsps/body.jsp;jsessionid=35C811932C13DA13C0D3253D2C421BC5 HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [12/Oct/2021:20:22:40 -0500] "GET /CS480Template/jsps/top.jsp;jsessionid=35C811932C13DA13C0D3253D2C421BC5 HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:58:36 -0500] "GET /CS480Template/jsps/main.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:58:37 -0500] "GET /CS480Template/jsps/top.jsp HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:58:37 -0500] "GET /CS480Template/jsps/body.jsp HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:58:38 -0500] "GET /CS480Template/jsps/main.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:58:38 -0500] "GET /CS480Template/jsps/top.jsp HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:58:38 -0500] "GET /CS480Template/jsps/body.jsp HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:59:06 -0500] "GET /CS480Template/jsps/main.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:59:07 -0500] "GET /CS480Template/jsps/body.jsp HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [12/Oct/2021:22:59:07 -0500] "GET /CS480Template/jsps/top.jsp HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [12/Oct/2021:23:13:48 -0500] "GET /CS480Template/jsps/main.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [12/Oct/2021:23:13:48 -0500] "GET /CS480Template/jsps/body.jsp HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [12/Oct/2021:23:13:48 -0500] "GET /CS480Template/jsps/top.jsp HTTP/1.1" 200 1046
